original_Last Updated,original_Category,original_Organization Name,original_Other Organization Name,original_Street Address,original_City,original_State,original_Zip Code,original_Phone Number,original_E-mail,original_Website,original_Discount Description,original_Discount Description (long),original_Cardholder Requirement,original_Authorization for Release of Information,original_Approved for Publishing,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
2018-04-12T00:00:00.000,Health & Medical,North Seattle Community Acupuncture,,11329 Pinehurst Way NE,Seattle,WA,98125,206-524-6428,clinic@northseaforme.com,http://www.northseaforme.com,Clinic is wheelchair accessible. Wide hallway and large bathroom make it easy to maneuver around.,Clinic is wheelchair accessible. Wide hallway and large bathroom make it easy to maneuver around.,No card required,true,true,47.7112477,-122.317184,"NorthSea Orthopedic & Community Acupuncture, 11329 Pinehurst Way Northeast, Seattle, WA 98125, United States of America",NorthSea Orthopedic & Community Acupuncture,11329,Pinehurst Way Northeast,98125,Victory Heights,Northgate,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9/9/2022,Classes & Learning; Other,Northwest Center--People of All Abilities,,1119 SW 7th Street,Renton,WA,98057,(206) 285-9140,,https://www.nwcenter.org/,"Employment Services for adults with disabilities include transition services, vocational training, job placement, and supported employment. Donations of clothing and household items can also be arranged at 800-992-2060.","Employment services places people in jobs that match their skills, and then provide them with the appropriate level of support at each step along their career path. Services for children also available. Services offered in King, Snohomish, Pierce, Okanogan, and Spokane counties.",No card Required,true,true,47.473264,-122.232134,"1119 SW 7th Street, Renton, WA 98057, United States of America",,1119,SW 7th Street,98057,,,Renton,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2022-05-12T00:00:00.000,"Home, Garden & Home Repair; Retail Shopping",OnePlus Kitchen & Home,,650 S Jackson Street,Seattle,WA,98104,206-624-4821,oneplus3228@gmail.com,,Additional 10% off items already on sale. 20% off regularly priced selected items (discount not available for all items).,Find kitchen goods and Asian gifts for your home.,Both Gold and FLASH card,true,true,47.5993487,-122.32487,"650 South Jackson Street, Seattle, WA 98104, United States of America",,650,South Jackson Street,98104,Little Saigon,Chinatown/International District,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Queen Anne Pool, Seattle Parks and Recreation",,1920 1st Ave W,Seattle,WA,98119,206-386-4282,,http://www.seattle.gov/parks/find/pools/queen-anne-pool,"Located on Queen Anne Hill, we offer a wide array of programs and special events.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.6363722,-122.35792009329906,"Queen Anne Aquatic Center, 1920 1st Avenue West, Seattle, WA 98119, United States of America",Queen Anne Aquatic Center,1920,1st Avenue West,98119,,Queen Anne,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-05-21T00:00:00.000,Food & Beverage / Grocery; Food & Beverage / Restaurant,Racha Thai GO (Bellevue),,12 Bellevue Way SE.,Bellevue,WA,98004,4255985548,rachathaigo@gmail.com,https://www.rachathai.com,10% disocunt,10% off your total bill. Cannot combine with any other discount or promotion.,Both Gold and FLASH card,true,true,47.609884,-122.201091,"12 Bellevue Way SE, Bellevue, WA 98004, United States of America",,12,Bellevue Way SE,98004,,,Bellevue,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
4/12/2018,Fitness & Recreation; Classes & Learning,"Rainier Beach Pool, Seattle Parks and Recreation",,8825 Rainier Ave S,Seattle,WA,98118,206-386-1944,,http://www.seattle.gov/parks/find/pools/rainier-beach-pool,"We offer a wide array of aquatics programs for all ages and abilities. Exercise classes include aqua jogging, hydro-fit exercise, and water exercise. We offer senior adult swim lessons.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.52439,-122.27070896241277,"Rainier Beach Community Center, 8825 Rainier Avenue South, Seattle, WA 98118, United States of America",Rainier Beach Community Center,8825,Rainier Avenue South,98118,Rainier Beach,,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8/15/2022,Auto Services & Transportation,Regional Reduced Fare Permit,METRO King County,.,Seattle,WA,.,206-553-3000,,https://kingcounty.gov/depts/transportation/metro/fares-orca/orca-cards/reduced-fare-permit.aspx#senior,No card Required,"The Regional Reduced Fare Permit (RRFP) gives riders ages 65+, riders with disabilities, and Medicare card holders reduced fares on participating transit agencies in the Puget Sound area, including Link Light Rail, ACCESS vans, and more.",,true,true,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8/15/2022,Auto Services & Transportation,"Regional Reduced Fare Permit (RRFP), METRO King County",METRO King County,"King Street Center, 201 South Jackson St.",Seattle,WA,98104,206-553-3000,,https://kingcounty.gov/depts/transportation/metro/fares-orca/orca-cards/reduced-fare-permit.aspx#senior,"The Regional Reduced Fare Permit (RRFP) gives riders ages 65+, riders with disabilities, and Medicare card holders reduced fares on participating transit agencies in the Puget Sound area, including Link Light Rail, ACCESS vans, VIA to transit, and more.",,No card Required,true,true,47.59893355,-122.33092308579052,"King Street Center, South Jackson Street, Seattle, WA 98104, United States of America",King Street Center,,South Jackson Street,98104,,Chinatown/International District,Seattle,King County,Washington,WA,United States,us,0.4285714285714286,1,0.4285714285714286,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Auto Services & Transportation,Rose Street Auto Repair,,8335 Rainier Ave S,Seattle,WA,98118,206-723-7500,phillipautomotive@yahoo.com,,"10% off parts, excluding dealer parts.  10% off labor.",,No card required,true,true,47.52805985,-122.27043194582379,"8335 Rainier Avenue South, Seattle, WA 98118, United States of America",,8335,Rainier Avenue South,98118,Dunlap,Dunlap,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Pets & Veterinary,Seattle Animal Shelter,,2061 15th Ave W,Seattle,WA,98119,206-386-7387,seattleanimalshelter@seattle.gov,http://www.seattle.gov/animalshelter,50% discount on altered pet license fees and 50% off pet adoption fees. Age 60+ or adults with disabilities.,,GOLD or FLASH card required,true,true,47.6382636,-122.3765283,"2061 15th Avenue West, Seattle, WA 98119, United States of America",,2061,15th Avenue West,98119,Interbay,Queen Anne,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-10-14T00:00:00.000,"Hotels, Travel & Tourism; Fitness & Recreation",Seattle Aquarium,,1483 Alaskan Way (Pier 59),Seattle,WA,98101,206-386-4300,contactus@seattleaquarium.org,https://www.seattleaquarium.org,"Free entrance with the Gold or FLASH Card. For regular ticket prices, hours, directions, and accessibility information, visit https://www.seattleaquarium.org/visit or call 206-386-4300.",,No card required,true,true,47.607408899999996,-122.3431270461208,"Pier 59, Alaskan Way, Seattle, WA 98181, United States of America",Pier 59,,Alaskan Way,98181,West Edge,Belltown,Seattle,King County,Washington,WA,United States,us,0.4,1,0.4,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2021-06-09T00:00:00.000,Auto Services & Transportation,Seattle Center Monorail,,"370 Thomas St, 2nd Floor",Seattle,WA,98109,206-905-2601,info@seattlemonorail.com,http://www.seattlemonorail.com,,,Gold or FLASH card required,true,true,47.6212,-122.349729,"370 Thomas Street, Seattle, WA 98109, United States of America",,370,Thomas Street,98109,,Lower Queen Anne,Seattle,King County,Washington,WA,United States,us,0.25004699999999996,1,0.25004699999999996,© OpenAddresses contributors,BSD-3-Clause License,
2018-04-12T00:00:00.000,Fitness & Recreation,Seattle Japanese Garden,,1075 Lake Washington Blvd E,Seattle,WA,98112,206-684-4725,,https://www.seattlejapanesegarden.org/,Discount entry rate of $4.  Adults with disabilities or age 65+.,,No card required,true,true,47.6298388,-122.29717863868424,"Japanese Garden, 1075 Lake Washington Boulevard East, Seattle, WA 98112, United States of America",Japanese Garden,1075,Lake Washington Boulevard East,98112,,Madison Park,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Arts, Culture & Entertainment",Seattle Pinball Museum,,508 Maynard Ave S,Seattle,WA,98104,206-623-0759,info@seattlepinballmuseum.com,http://www.seattlepinballmuseum.com,10% off,,No card required,true,true,47.5980084,-122.3248559,"Seattle Pinball Museum, 508 Maynard Avenue South, Seattle, WA 98104, United States of America",Seattle Pinball Museum,508,Maynard Avenue South,98104,Little Saigon,Chinatown/International District,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Health & Medical,Seattle Vision Care Center,,311 Union St,Seattle,WA,98101,206-622-1283,mail@seattlevision.net,http://www.seattlevision.net,15% off,,No card required,true,true,47.6084524,-122.3359879,"311 Union Street, Seattle, WA 98101, United States of America",,311,Union Street,98101,Central Business District,Belltown,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Home, Garden & Home Repair",Sky Nursery,,18528 Aurora Ave,Shoreline,WA,98133,206-546-4851,sky@skynursery.com,http://www.skynursery.com,"Discount does not apply to gift certificates, bulk deliveries, delivery fees, sale items or prior sales","Discount does not apply to gift certificates, bulk deliveries, delivery fees, sale items or prior sales",GOLD or FLASH card required,true,true,47.7564667,-122.3437497,"Shoreline, WA 98155, United States of America",,,,98155,,,Shoreline,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Food & Beverage / Restaurant,Skylark Cafe & Club,,3803 Delridge Way SW,Seattle,WA,98106,206-935-2111,jessie@skylarkcafe.com,http://www.skylarkcafe.com,"10% off entire lunch, dinner, or weekend brunch Age 60+ or adults with disabilities",,GOLD or FLASH card required,true,true,47.570002,-122.362525,"3803 Delridge Way SW, Seattle, WA 98106, United States of America",,3803,Delridge Way SW,98106,,North Delridge,Seattle,King County,Washington,WA,United States,us,0.75,1,0.75,© OpenAddresses contributors,BSD-3-Clause License,
2022-06-13T00:00:00.000,Retail Shopping,Snapdoodle Toys,,120 N 85th Street,Seattle,WA,98103,206-782-0098,seattle@snapdoodletoys.com,https://www.snapdoodletoys.com,"10% off on your purchase. Discount honored at any of six Snapdoodle Toys locations (Seattle, Kenmore, Redmond, Issaquah, Totem Lake & Bellevue).","We sell Puzzles, Board Games, Books and amazing other toys. You will receive a 10% discount on your purchase at any of our Snapdoodle Toys locations.",Both Gold and FLASH card,true,true,47.6909885,-122.3570102,"Snapdoodle Toys & Games Seattle, 120 North 85th Street, Seattle, WA 98103, United States of America",Snapdoodle Toys & Games Seattle,120,North 85th Street,98103,,Greenwood,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Sound Steps Walking Program, Seattle Parks and Recreation",,.,Seattle,WA,.,206-684-4664,sound.steps@seattle.gov,http://www.seattle.gov/parks/find/sound-steps-(50),FREE year-round walking program designed to get adults age 50+ moving and gaining the health benefits of regular exercise. Participants are connected to other walkers on their level and given tools to measure progress. Weekly walking groups/monthly hikes.,"Enjoy walking? Volunteers needed! If you would like to help lead walks, keep track of walker data, promote the program or motivate others, please contact us.",No card required,true,true,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation; Classes & Learning,"Southwest Pool, Seattle Parks and Recreation",,2801 SW Thistle St,Seattle,WA,98126,206-684-7440,,http://www.seattle.gov/parks/find/pools/southwest-pool,"Located in Southwest Seattle, we offer an array of programs and events.",Details on senior discounts at: https://www.seattle.gov/parks/find/pools/pool-admissions-fees. Further reduced price scholarships for income eligible individuals at: https://www.seattle.gov/parks/find/scholarships-and-financial-aid,No card required,true,true,47.5276609,-122.3689014,"JUMs, 2801 Southwest Thistle Street, Seattle, WA 98126, United States of America",JUMs,2801,Southwest Thistle Street,98126,Westwood,,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Retail Shopping,Sweet Mickey's Candy Store,,2230 NW 57th St,Seattle,WA,98107,206-402-6272,randy@sweetmickeys.com,http://www.sweetmickeys.com,20% Discount,,GOLD or FLASH card required,true,true,47.6703166,-122.3861945,"2230 Northwest 57th Street, Seattle, WA 98107, United States of America",,2230,Northwest 57th Street,98107,Sunset Hill,Ballard,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08T00:00:00.000,Auto Services & Transportation,T-Auto Repair,,9480 Rainier Avenue S.,Seattle,WA,98118,206-721-5306,TAutoRepair9480@gmail.com,https://t-auto-repair-seattle-llc.business.site/,20% off entire purchase.,,Both Gold and FLASH card,true,true,47.52041765,-122.26189165175002,"Dan's Auto Repair, 9480 Rainier Avenue South, Seattle, WA 98118, United States of America",Dan's Auto Repair,9480,Rainier Avenue South,98118,Rainier Beach,Dunlap,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9/6/2022,Health & Medical; Classes & Learning,One Step Ahead Fall Prevention Program,,.,King County,WA,Cities in King County (except Seattle),206-263-8544,FallPrevention.EMS@kingcounty.gov,https://kingcounty.gov/depts/health/emergency-medical-services/community/fall-prevention.aspx,"To enroll in this free program to receive your own home safety walk-through, you must be a resident of King County (outside of & excluding Seattle), 50 years of age or older, ambulatory and have fallen within the past 6 months and called 911.","Program provides free in-home or virtual visit by a fall prevention health educator, including a home walk-through to address potential fall hazards, education about staying safe in your home, installation of safety devices and information to help stay independent and safe in your home.",No card Required,true,true,47.3871102,-122.28427616232469,"King County, WA, United States of America",,,,,,,King County,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-08-08T00:00:00.000,"Hair, Skin & Spa",Tina Hair & Nail Salon,,5101 Rainier Avenue S.,Seattle,WA,98118,206-723-2999,thaonguyen@yahoo.com,,10% off. Gold or FLASH Card required.,,Both Gold and FLASH card,true,true,47.5559577,-122.283797,"5101 Rainier Avenue South, Seattle, WA 98118, United States of America",,5101,Rainier Avenue South,98118,Columbia City,Rainier Valley,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,Auto Services & Transportation,Tom's Automotive Service,,3616 SW Oregon St,Seattle,WA,98126,206-937-1144,service@tomsautomotive.com,http://www.tomsautomotive.com,10% off up to $40 Age 60+,,GOLD or FLASH card required,true,true,47.5631233,-122.37824220640334,"3616 Southwest Oregon Street, Seattle, WA 98126, United States of America",,3616,Southwest Oregon Street,98126,,West Seattle,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.000,"Arts, Culture & Entertainment",Town Hall Seattle,,1119 8th Ave,Seattle,WA,98101,206-652-4255,info@townhallseattle.org,http://www.townhallseattle.org,"30% off individual Town Hall membership ($30, regularly $45)",,GOLD or FLASH card required,true,true,47.6090191,-122.32993774092222,"Town Hall Seattle, 1119 8th Avenue, Seattle, WA 98101, United States of America",Town Hall Seattle,1119,8th Avenue,98101,Central Business District,First Hill,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9/9/2022,"Classes & Learning; Home, Garden & Home Repair; Other","Trees for Neighborhoods, City of Seattle",,.,Seattle,WA,throughout Seattle,206-684-TREE (8733),TreesForNeighborhoods@Seattle.gov,https://seattle.gov/trees/planting-and-care/trees-for-neighborhoods?utm_medium=email&utm_source=govdelivery,"Free trees to plant in your yard and/or parking strip, per availability and location. Includes help with tree planting, location selection and finding the right tree, as well as training and workshops on proper planting and care.","Application timeline in fall and spring. Up to 4 trees per household, lifetime maximum of 6 trees.",No card Required,true,true,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,0.5,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8/14/2022,"Home, Garden & Home Repair; Pets & Veterinary; Retail Shopping",Urban Feed and Garden,,4878 Beacon Ave S,Seattle,WA,98108,206-420-2047,urbanfeedandgarden@gmail.com,https://www.urbanfeedandgarden.com,10% discount,10% discount for GOLD and FLASH cardholders. Discount will also be offered to seniors with ID.,Both Gold and FLASH card,true,true,47.5588095,-122.3039378,"4878 Beacon Avenue South, Seattle, WA 98108, United States of America",,4878,Beacon Avenue South,98108,Rainier Vista,Rainier Valley,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8/17/2022,Elder Care; Food & Beverage / Grocery; Health & Medical; Legal & Financial; Other,Washington Connection,,.,Statewide,WA,.,,,https://www.washingtonconnection.org/home/home.go,"A fast and easy way for families and individuals to apply for a variety of services such as Food, Cash, Long-Term Care, and Medicare Savings Programs. Eligibility and discount determined according to income guidelines. Individuals age 65+, blind or disabled may also apply for medical assistance.",,No card Required,true,true,48.821908,-121.872515,"Whatcom County, WA, United States of America",Whatcom County,,,,,,,Whatcom County,Washington,WA,United States,us,0.25,,,,,https://www.whosonfirst.org/docs/licenses/
2018-04-12T00:00:00.000,Fitness & Recreation,Washington State Parks,,PO Box 42650,Olympia,WA,98504,360-902-8500,infocent@parks.wa.gov,http://www.parks.state.wa.us/205/passes,"Off-Season Senior Citizen Pass, Senior Citizen Limited Income Pass, Disability Pass, and Disabled Veteran Lifetime Pass Call or e-mail to request cost information or an application.","Off-Season Senior Citizen Pass, Senior Citizen Limited Income Pass, Disability Pass, and Disabled Veteran Lifetime Pass Call or e-mail to request cost information or an application.",GOLD or FLASH card required,true,true,47.047456,-122.896902,"Olympia, WA, United States of America",,,,,,,Olympia,Thurston County,Washington,WA,United States,us,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
9/9/2022,"Technology, Computers & Mobile Phones",TechConnectWA,,.,Statewide,WA,.,800-216-1132,techconnect@eec-wa.org,https://techconnectwa.org/,"Our Community Helpdesk provides FREE basic computer technical support, digital navigation, internet connectivity guidance, and referrals for hardware fixes to all WA residents in multiple languages. Click blue '+' at left for more details.","Open 7 days a week, 8 AM - 8 PM, via chat, phone or email at link included. Help available in Spanish, Vietnamese, Tigrinya, Afaan Oromoo, Amharic, Sidamo, Wolaytta, and English.",No card Required,true,true,48.821908,-121.872515,"Whatcom County, WA, United States of America",Whatcom County,,,,,,,Whatcom County,Washington,WA,United States,us,0.25,,,,,https://www.whosonfirst.org/docs/licenses/
8/17/2022,"Arts, Culture & Entertainment; Classes & Learning; Technology, Computers & Mobile Phones",Washington Talking Book & Braille Library,,2021 9th Avenue,Seattle,WA,98121,206-615-0400 or 800-542-0866,wtbbl@sos.wa.gov,https://www.wtbbl.org/eligibility.aspx,Free services available to all WA residents who are unable to read standard print due to one or more vision-related conditions (click '+' at left or webpage link to learn more).,"Conditions include: Legal blindness, visual impairment, physical disability causing inability to turn pages or comfortably hold a book for extended periods of time, deaf-blindness, or reading disability.",No card Required,true,true,47.6169214,-122.3370104,"Washington Talking Book and Braille Library, 2021 9th Avenue, Seattle, WA 98121, United States of America",Washington Talking Book and Braille Library,2021,9th Avenue,98121,South Lake Union,Belltown,Seattle,King County,Washington,WA,United States,us,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4/12/2018,Fitness & Recreation,"Dementia-Friendly Recreation, Seattle Parks and Recreation",,,Seattle,WA,,,,http://www.seattle.gov/parks/find/dementia-friendly-recreation,Provides free or low-cost meaningful recreation & social engagement opportunities for people living with memory loss throughout Seattle. Are you living with memory loss or caring for someone who lives with memory loss? This program is for you.,,No card required,true,true,47.6038321,-122.330062,"Seattle, WA, United States of America",,,,,,,Seattle,King County,Washington,WA,United States,us,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2022-06-13T00:00:00.000,Classes & Learning,The Polytech,,"540 NE Northgate Way, Suite D",Seattle,WA,980125,206-557-4646,info@thepolytech.com,https://thepolytech.com,10% discount on all driving and tutoring services.,"Show your Gold or Flash card to get 10% off any driving package, career assessment, tutoring, or one-on-one program. Not valid for high school credit programs.",Both Gold and FLASH card,true,true,47.7089329,-122.3214597,"540 Northeast Northgate Way, Seattle, WA, United States of America",,540,Northeast Northgate Way,,,Pinehurst,Seattle,King County,Washington,WA,United States,us,0.35720999999999997,1,0.35720999999999997,© OpenAddresses contributors,BSD-3-Clause License,
9/13/2022,"Technology, Computers & Mobile Phones; Other",Honey Cat Design,,1275 Road 10 Southwest,Rock Island,Wa,98850,509-683-2943,matt@honrycatdesign.com,https://www.honeycatdesign.com/,Offers first time clients 10% off first 3 months of any SEO package (to optimize your webpage's visibility) or 10% off web design.,Gold or FLASH card not required.,No card Required,true,true,47.374425,-120.135814,"Rock Island, WA, United States of America",,,,,,,Rock Island,Douglas County,Washington,WA,United States,us,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
2018-04-12T00:00:00.000,Auto Services & Transportation,"North Seattle Transmission, Inc",,14711 15th Ave NE,Seattle,WA,98155,206-364-3131,northseattletran@qwestoffice.net,http://www.northseattletransmission.com,10% off parts & labor up to max of $250 discount. Age 60+ or adults with disabilities.,,No card required,true,true,47.672084,-122.3120094,"15th Avenue Northeast, Seattle, WA 98105, United States of America",15th Avenue Northeast,,15th Avenue Northeast,98105,University Heights,University District,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2018-04-12T00:00:00.001,"Arts, Culture & Entertainment",Harmonia Orchestra & Chorus,,1916 Pike Place Ste 12 #112,Seattle,WA,98101,206-682-5208,info@harmoniaseattle.org,https://harmoniaseattle.org,$10 tickets with Gold or FLASH Card. Regular price $25. Select 'Concession' price choice when ordering online or at the box office.,(Formerly called Orchestra Seattle/Seattle Chamber Singers),GOLD or FLASH card required,true,true,47.6101822,-122.3427429,"1916 Pike Place, Seattle, WA, United States of America",,1916,Pike Place,,,Pike Place Market,Seattle,King County,Washington,WA,United States,us,0.33333333333333337,1,0.33333333333333337,© OpenAddresses contributors,BSD-3-Clause License,
4/17/2023,"Arts, Culture & Entertainment",Seattle Art Museum,,1300 First Ave,Seattle,WA,98101,206-654-3210,kevink@seattleartmuseum.org,http://www.seattleartmuseum.org,Gold Card/Flash Card Holders: $5 admission (an 83% savings!). Includes access to everything on view. Card verification is required. Available onsite only.,Admission discount also available at Seattle Asian Art Museum on Capitol Hill.,GOLD or FLASH card required,true,true,47.607194,-122.338257,"1300 1st Avenue, Seattle, WA 98101, United States of America",,1300,1st Avenue,98101,,Central Business District,Seattle,King County,Washington,WA,United States,us,0.4,1,0.4,© OpenAddresses contributors,BSD-3-Clause License,
1/4/2023,Health & Medical,"Vital Kinesis, PLLC",,"2800 Northup Way, Suite 200",Bellevue,WA,98004,253-234-4601,info@vitalkinesispt.com,https://www.vitalkinesispt.com,Tai Chi classes (in-person or virtually) to improve your balance. Classes are on a donation basis.,"This is a modified Tai Chi Program that is evidenced-based and CDC-approved to improve your balance and mobility. Ours is a progressive program, meaning that each class is built upon the content in the previous class. Therefore, we recommend you attend class weekly. 
Classes are on a donation basis, and you can attend in-person or virtually (online). Class sessions are held quarterly.",No card required,true,true,47.629527,-122.17491,"Northup Way, Bellevue, WA, United States of America",,,Northup Way,,,,Bellevue,King County,Washington,WA,United States,us,0.4,1,0.4,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3/1/2023,Food & Beverage / Restaurant,Kaffeeklatsch,,12513 Lake City Way NE Suite H,Seattle,WA,98125,206-462-1059,kaffeeklatschseattle@gmail.com,www.kaffeeklatschseattle.com,Receive a 10% discount when 60 years old and up.,Visit Kaffeeklatsch to sit down and have a coffee in a real cup and treat yourself with a pastry served on a real plate. Take your time. What's the rush?,Both Gold and FLASH card,true,true,47.7197482,-122.295229,"12513 Lake City Way Northeast, Seattle, WA, United States of America",,12513,Lake City Way Northeast,,,Roosevelt,Seattle,King County,Washington,WA,United States,us,0.35720999999999997,1,0.35720999999999997,© OpenAddresses contributors,BSD-3-Clause License,
1/4/2023,"Arts, Culture & Entertainment",The Museum of Flight,,9404 E. Marginal Way South,Seattle,WA,98108-4097,206-764-5700,info@museumofflight.org,https://www.museumofflight.org/,Gold Card holders: $22 admission (25% off). FLASH Card holders: $3.00 Admission (90% off). Available onsite only. Free admission to caregiver/aide accompanying visitor with a disability. More info at blue ‘+’ sign at left.,"Reduced-Price Aviator annual membership for Gold Card/FLASH Card ($29, regularly $119). Card verification required and discount valid for the card holder. Learn more about even more reduced-price Aviator Membership at: https://www.museumofflight.org/visit/access. For more information and schedule of free museum Sensory Days, visit: https://www.museumofflight.org/Plan-Your-Visit/Sensory-Days.",Both Gold and FLASH card,true,true,47.5183592,-122.29649545103578,"Museum of Flight, 9404 East Marginal Way South, Seattle, WA 98108, United States of America",Museum of Flight,9404,East Marginal Way South,98108,,,Seattle,King County,Washington,WA,United States,us,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3/28/2023,Retail Shopping,Snapdoodle Toys & Games--Kenmore,,7330 NE Bothell Way,Kenmore,WA,98028,425-408-0021,seattle@snapdoodletoys.com,https://www.snapdoodletoys.com,"10% off on your purchase. Discount honored at any of six Snapdoodle Toys locations (Seattle, Kenmore, Redmond, Issaquah, Totem Lake & Bellevue).","We sell Puzzles, Board Games, Books and amazing other toys. You will receive a 10% discount on your purchase at any of our Snapdoodle Toys locations.",Both Gold and FLASH card,true,true,47.7575071,-122.242286,"Kenmore Violins, 7330 Bothell Way Northeast, Kenmore, WA 98028, United States of America",Kenmore Violins,7330,Bothell Way Northeast,98028,,,Kenmore,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
